year,average_rent,vacancy_rate
2000,603.0,1.3
2001,657.0,0.9
2002,710.0,1.6
2003,723.0,3.5
2004,729.0,5.2
2005,732.0,4.3
2006,810.0,1.1
2007,964.0,1.5
2008,1037.0,2.5
2009,1016.0,4.4
2010,1020.0,4.1
2011,1037.0,3.3
2012,1074.0,1.7
2013,1144.0,1.4
2014,1230.0,1.7
2015,1261.0,4.3
2016,1232.0,7.1
2017,1216.0,6.9
2018,1246.0,5.3
2019,1258.0,4.9
2020,1270.0,6.8
2021,1271.0,6.9
2022,1303.0,4.1
2023,1398.0,2.3
2024,1529.0,3.0
2025,1598.0,3.8
